company_name,ticker,esg_score,risk_level,page_number
ChampionX Corp.,NAS:CHX,22,Medium ESG Risk,230
Chang Hwa Commercial Bank Ltd.,TAI:2801,16.6,Low ESG Risk,230
"Chang Wah Electromaterials, Inc.",TAI:8070,12.8,Low ESG Risk,230
"Chang Wah Technology Co., Ltd.",ROCO:6548,31,High ESG Risk,231
"Changchun FAWAY Automobile Components Co., Ltd.",SHG:600742,25.3,Medium ESG Risk,231
"Changchun High-Tech Industry (Group) Co., Ltd.",SHE:000661,27.9,Medium ESG Risk,231
"CHANGE Holdings, Inc.",TKS:3962,25,Medium ESG Risk,231
"Changjiang Securities Co., Ltd.",SHE:000783,35.9,High ESG Risk,231
"Changzhou Qianhong Biopharma Co., Ltd.",SHE:002550,36.8,High ESG Risk,231
Changzhou Xingyu Automotive Lighting Systems Co. Ltd.,SHG:601799,27,Medium ESG Risk,231
"Chanjet Information Technology Co., Ltd.",HKG:1588,25.9,Medium ESG Risk,231
"Channel Well Technology Co., Ltd.",ROCO:3078,25.9,Medium ESG Risk,231
Chaoju Eye Care Holdings Ltd.,HKG:2219,25.8,Medium ESG Risk,231
"Chaozhou Three-Circle (Group) Co., Ltd.",SHE:300408,26.8,Medium ESG Risk,232
"Charge Enterprises, Inc.",-,21.2,Medium ESG Risk,232
"ChargePoint Holdings, Inc.",NYS:CHPT,17.9,Low ESG Risk,232
"Charles River Laboratories International, Inc.",NYS:CRL,18.1,Low ESG Risk,232
"Charoen Pokphand Enterprise (Taiwan) Co., Ltd.",TAI:1215,34.5,High ESG Risk,232
Charoen Pokphand Foods Public Co. Ltd.,BKK:CPF,24.3,Medium ESG Risk,232
"Chart Industries, Inc.",NYS:GTLS,28.3,Medium ESG Risk,232
"Charter Communications, Inc.",NAS:CHTR,23.7,Medium ESG Risk,232
Charter Hall Group,ASX:CHC,9.3,Negligible ESG Risk,232
Charter Hall Long WALE REIT,ASX:CLW,12,Low ESG Risk,232
Charter Hall Retail REIT,ASX:CQR,9.3,Negligible ESG Risk,233
Charter Hall Social Infrastructure REIT,ASX:CQE,13.1,Low ESG Risk,233
Chartwell Retirement Residences,TSE:CSH.UT,18.9,Low ESG Risk,233
Chase Corp.,-,32.3,High ESG Risk,233
Chatham Lodging Trust,NYS:CLDT,18.2,Low ESG Risk,233
CHC Group Ltd.,-,30.3,High ESG Risk,233
CHC Healthcare Group,TAI:4164,16.9,Low ESG Risk,233
Check Point Software Technologies Ltd.,NAS:CHKP,17.8,Low ESG Risk,233
"Cheesecake Factory, Inc.",NAS:CAKE,27.7,Medium ESG Risk,233
"Chegg, Inc.",NYS:CHGG,11.3,Low ESG Risk,233
"Cheil Worldwide, Inc.",KRX:030000,18.4,Low ESG Risk,234
Chemed Corp.,NYS:CHE,25.2,Medium ESG Risk,234
Chemical Works of Gedeon Richter Plc,BUD:RICHT,26.6,Medium ESG Risk,234
ChemoMetec A/S,CSE:CHEMM,15.8,Low ESG Risk,234
Chemplast Sanmar Ltd.,BOM:543336,30.2,High ESG Risk,234
Chemring Group Plc,LON:CHG,26.3,Medium ESG Risk,234
Chemung Financial Corp.,NAS:CHMG,30.1,High ESG Risk,234
"Cheng De Lolo Co., Ltd.",SHE:000848,31.8,High ESG Risk,234
Cheng Loong Corp.,TAI:1904,18.6,Low ESG Risk,234
"Cheng Shin Rubber Ind. Co., Ltd.",TAI:2105,18.5,Low ESG Risk,234
Cheng Uei Precision Industry Co. Ltd.,TAI:2392,22.4,Medium ESG Risk,235
Chengdu ALD Aviation Manufacturing Corp.,SHE:300696,39.6,High ESG Risk,235
"Chengdu CORPRO Technology Co., Ltd.",SHE:300101,25.5,Medium ESG Risk,235
"Chengdu Fusen Noble-House Industrial Co., Ltd.",SHE:002818,21,Medium ESG Risk,235
"Chengdu Hongqi Chain Co., Ltd.",SHE:002697,24.7,Medium ESG Risk,235
"Chengdu Kanghong Pharmaceutical Group Co., Ltd.",SHE:002773,31.7,High ESG Risk,235
"Chengdu Kanghua Biological Products Co., Ltd.",SHE:300841,24.4,Medium ESG Risk,235
"Chengdu Leejun Industrial Co., Ltd.",SHE:002651,32,High ESG Risk,235
"Chengdu RML Technology Co., Ltd.",SHE:301050,26.2,Medium ESG Risk,235
"Chengdu Wintrue Holding Co., Ltd.",SHE:002539,53.5,Severe ESG Risk,235
"Chengdu Xingrong Environment Co., Ltd.",SHE:000598,39.8,High ESG Risk,236
"Chengtun Mining Group Co., Ltd.",SHG:600711,55.9,Severe ESG Risk,236
"Chengxin Lithium Group Co., Ltd.",SHE:002240,58.9,Severe ESG Risk,236
"Chengzhi Co., Ltd.",SHE:000990,26.9,Medium ESG Risk,236
Cheniere Energy Partners LP,NYS:CQP,30.3,High ESG Risk,236
"Cheniere Energy, Inc.",NYS:LNG,21.5,Medium ESG Risk,236
Chennai Petroleum Corp. Ltd.,BOM:500110,44.8,Severe ESG Risk,236
Chervon Holdings Ltd.,HKG:2285,25.1,Medium ESG Risk,236
Chesapeake Energy Corp.,-,36.4,High ESG Risk,236
Chesapeake Utilities Corp.,NYS:CPK,37,High ESG Risk,236
Chesnara Plc,LON:CSN,31.2,High ESG Risk,237
Chevron Corp.,NYS:CVX,35.3,High ESG Risk,237
Chevron Phillips Chemical Co. LLC,-,29.8,Medium ESG Risk,237
"Chewy, Inc.",NYS:CHWY,28.3,Medium ESG Risk,237
Chia Hsin Cement Corp.,TAI:1103,34.5,High ESG Risk,237
"Chicago Atlantic Real Estate Finance, Inc.",NAS:REFI,21.8,Medium ESG Risk,237
"Chico's FAS, Inc.",-,15,Low ESG Risk,237
"Chicony Electronics Co., Ltd.",TAI:2385,20,Low ESG Risk,237
"Chicony Power Technology Co., Ltd.",TAI:6412,22.5,Medium ESG Risk,237
Chief Telecom Inc.,ROCO:6561,25.5,Medium ESG Risk,237
"Chifeng Jilong Gold Mining Co., Ltd.",SHG:600988,47.8,Severe ESG Risk,238
"Chilled & Frozen Logistics Holdings Co., Ltd.",-,20.4,Medium ESG Risk,238
Chimera Investment Corp.,NYS:CIM,15.1,Low ESG Risk,238
"Chimney Co., Ltd.",TKS:3178,36.1,High ESG Risk,238
Chin Hin Group Bhd.,KLS:5273,27,Medium ESG Risk,238
"Chin-Poon Industrial Co., Ltd.",TAI:2355,16.4,Low ESG Risk,238
China Aircraft Leasing Group Holdings Ltd.,HKG:1848,22.3,Medium ESG Risk,238
China Airlines Ltd.,TAI:2610,21,Medium ESG Risk,238
China Aluminum International Engineering Corp. Ltd.,HKG:2068,48.7,Severe ESG Risk,238
"China Animal Husbandry Industry Co., Ltd.",SHG:600195,48.4,Severe ESG Risk,238
China Aoyuan Group Ltd.,HKG:3883,24.5,Medium ESG Risk,239
"China Automotive Engineering Research Institute Co., Ltd.",SHG:601965,26.6,Medium ESG Risk,239
China Banking Corp.,PHS:CBC,34.5,High ESG Risk,239
"China Baoan Group Co., Ltd.",SHE:000009,53.7,Severe ESG Risk,239
China Bills Finance Corp.,TAI:2820,27.2,Medium ESG Risk,239
China BlueChemical Ltd.,HKG:3983,41.9,Severe ESG Risk,239
"China Bohai Bank Co., Ltd.",HKG:9668,32,High ESG Risk,239
"China CAMC Engineering Co., Ltd.",SHE:002051,46.5,Severe ESG Risk,239
"China Chemical & Pharmaceutical Co., Ltd.",TAI:3716,29.1,Medium ESG Risk,239
"China Chunlai Education Group Co., Ltd.",HKG:1969,23.1,Medium ESG Risk,239
"China Cinda Asset Management Co., Ltd.",HKG:1359,31.9,High ESG Risk,240
China CITIC Bank Corp. Ltd.,HKG:998,28.5,Medium ESG Risk,240
China CITIC Bank International Ltd.,-,26.9,Medium ESG Risk,240
"China CITIC Financial Asset Management Co., Ltd.",HKG:2799,30.5,High ESG Risk,240
"China Coal Energy Co., Ltd.",HKG:1898,56.7,Severe ESG Risk,240
"China Coal Xinji Energy Co., Ltd.",SHG:601918,51.9,Severe ESG Risk,240
China Communications Construction Co. Ltd.,HKG:1800,57.7,Severe ESG Risk,240
China Communications Services Corp. Ltd.,HKG:552,26.2,Medium ESG Risk,240
China Conch Environment Protection Holdings Ltd.,HKG:587,23.8,Medium ESG Risk,240
China Conch Venture Holdings Ltd.,HKG:586,24.1,Medium ESG Risk,240
China Construction Bank Corp.,HKG:939,26.1,Medium ESG Risk,241
China Construction Bank Corp. (Macau Branch),-,27.5,Medium ESG Risk,241
China CSSC Holdings Ltd.,SHG:600150,37.6,High ESG Risk,241
China Datang Corp. Renewable Power Co. Ltd.,HKG:1798,28,Medium ESG Risk,241
China Development Bank,-,17.8,Low ESG Risk,241
China Development Bank Financial Leasing Co. Ltd.,HKG:1606,29.3,Medium ESG Risk,241
China Development Financial Holding Corp.,TAI:2883,20,Low ESG Risk,241
China East Education Holdings Ltd.,HKG:667,17.3,Low ESG Risk,241
China Eastern Airlines Corp. Ltd.,HKG:670,28.6,Medium ESG Risk,241
China Education Group Holdings Ltd.,HKG:839,14.2,Low ESG Risk,241
China Electric MFG Corp.,TAI:1611,22.6,Medium ESG Risk,242
China Energy Engineering Corp. Ltd.,HKG:3996,49.2,Severe ESG Risk,242
"China Enterprise Co., Ltd.",SHG:600675,20.7,Medium ESG Risk,242
China Everbright Bank Co. Ltd.,HKG:6818,29.2,Medium ESG Risk,242
"China Everbright Bank Co., Ltd. (Australia)",-,29.9,Medium ESG Risk,242
China Everbright Environment Group Ltd.,HKG:257,21.5,Medium ESG Risk,242
China Everbright Ltd.,HKG:165,32.7,High ESG Risk,242
"China Express Airlines Co., Ltd.",SHE:002928,39.1,High ESG Risk,242
China Feihe Ltd.,HKG:6186,37.1,High ESG Risk,242
"China Film Co., Ltd.",SHG:600977,17.2,Low ESG Risk,242
China First Heavy Industries,SHG:601106,32.7,High ESG Risk,243
China Foods Ltd.,HKG:506,33,High ESG Risk,243
"China Fortune Land Development Co., Ltd.",SHG:600340,27.7,Medium ESG Risk,243
"China Galaxy Securities Co., Ltd.",HKG:6881,31.2,High ESG Risk,243
China Gas Holdings Ltd.,HKG:384,26.6,Medium ESG Risk,243
China General Nuclear Power Corp.,-,36.3,High ESG Risk,243
China General Plastics Corp.,TAI:1305,25.5,Medium ESG Risk,243
China Gold International Resources Corp. Ltd.,TSE:CGG,46.5,Severe ESG Risk,243
"China Grand Automotive Services Group Co., Ltd.",-,15.6,Low ESG Risk,243
"China Great Wall Asset Management Co., Ltd.",-,37.1,High ESG Risk,243
"China Great Wall Securities Co., Ltd.",SHE:002939,31,High ESG Risk,244
"China Greatwall Technology Group Co., Ltd.",SHE:000066,22.3,Medium ESG Risk,244
"China Green Electricity Investment of Tianjin Co., Ltd.",SHE:000537,27.5,Medium ESG Risk,244
"China Hainan Rubber Industry Group Co., Ltd.",SHG:601118,36,High ESG Risk,244
"China Harzone Industry Corp., Ltd.",SHE:300527,47,Severe ESG Risk,244
"China High Speed Transmission Equipment Group Co., Ltd.",HKG:658,23.1,Medium ESG Risk,244
"China High-Speed Railway Technology Co., Ltd.",SHE:000008,39.3,High ESG Risk,244
China Hongqiao Group Ltd.,HKG:1378,43.7,Severe ESG Risk,244
China Huadian Corp. Ltd.,-,54.4,Severe ESG Risk,244
China Industrial Securities Co. Ltd.,SHG:601377,27.7,Medium ESG Risk,244
China International Capital Corp. Ltd.,HKG:3908,33.7,High ESG Risk,245
China International Capital Corporation (International) Ltd.,-,28.4,Medium ESG Risk,245
"China International Marine Containers (Group) Co., Ltd.",HKG:2039,38.1,High ESG Risk,245
China Jiantou Leasing (Hong Kong) Co. Ltd.,-,36,High ESG Risk,245
China Jianyin Investment Ltd.,-,35.3,High ESG Risk,245
China Jinmao Holdings Group Ltd.,HKG:817,20.5,Medium ESG Risk,245
China Jushi Co. Ltd.,SHG:600176,37.7,High ESG Risk,245
China Kepei Education Group Ltd.,HKG:1890,15.9,Low ESG Risk,245
"China Kings Resources Group Co., Ltd.",SHG:603505,55.5,Severe ESG Risk,245
China Lesso Group Holdings Ltd.,HKG:2128,24.8,Medium ESG Risk,245
China Life Insurance Co. Ltd.,HKG:2628,23.8,Medium ESG Risk,246
China Lilang Ltd.,HKG:1234,16.7,Low ESG Risk,246
China Literature Ltd.,HKG:772,10.4,Low ESG Risk,246
China Longyuan Power Group Corp. Ltd.,HKG:916,34.9,High ESG Risk,246
China Man-Made Fiber Corp.,TAI:1718,32.9,High ESG Risk,246
China Medical System Holdings Ltd.,HKG:867,25.6,Medium ESG Risk,246
"China Meheco Group Co., Ltd.",SHG:600056,40.5,Severe ESG Risk,246
China MeiDong Auto Holdings Ltd.,HKG:1268,12.5,Low ESG Risk,246
"China Mengniu Dairy Co., Ltd.",HKG:2319,30.2,High ESG Risk,246
"China Merchants Bank Co., Ltd.",HKG:3968,25.4,Medium ESG Risk,246
"China Merchants Energy Shipping Co., Ltd.",SHG:601872,26.5,Medium ESG Risk,247
"China Merchants Port Group Co., Ltd.",SHE:001872,17.3,Low ESG Risk,247
"China Merchants Port Holdings Co., Ltd.",HKG:144,14.3,Low ESG Risk,247
"China Merchants Property Operation & Service Co., Ltd.",SHE:001914,18.4,Low ESG Risk,247
"China Merchants Securities Co., Ltd.",HKG:6099,31.7,High ESG Risk,247
"China Merchants Shekou Industrial Zone Holdings Co., Ltd.",SHE:001979,20.4,Medium ESG Risk,247
"China Metal Products Co., Ltd.",TAI:1532,29.6,Medium ESG Risk,247
China Metallurgical Group Corp.,-,48.6,Severe ESG Risk,247
"China Minmetals Group Co., Ltd.",-,65.5,Severe ESG Risk,247
"China Minsheng Banking Corp., Ltd.",HKG:1988,25.4,Medium ESG Risk,247
China Mobile Ltd.,HKG:941,25.7,Medium ESG Risk,248
China Modern Dairy Holdings Ltd.,HKG:1117,40.2,Severe ESG Risk,248
China Motor Corp.,TAI:2204,18.9,Low ESG Risk,248
China National Accord Medicines Corp. Ltd.,SHE:000028,20.2,Medium ESG Risk,248
"China National Building Material Co., Ltd.",HKG:3323,39.9,High ESG Risk,248
"China National Chemical Corp., Ltd.",-,44.7,Severe ESG Risk,248
"China National Chemical Engineering Co., Ltd.",SHG:601117,47.7,Severe ESG Risk,248
"China National Gold Group Gold Jewellery Co., Ltd.",SHG:600916,29.4,Medium ESG Risk,248
"China National Medicines Co., Ltd.",SHG:600511,39.1,High ESG Risk,248
"China National Nuclear Power Co., Ltd.",SHG:601985,38.2,High ESG Risk,248
China National Petroleum Corp.,-,67.6,Severe ESG Risk,249
"China National Software & Service Co., Ltd.",SHG:600536,25.8,Medium ESG Risk,249
China New Higher Education Group Ltd.,HKG:2001,17.6,Low ESG Risk,249
China Nonferrous Metal Industry's Foreign Eng. & Constr.,SHE:000758,60,Severe ESG Risk,249
China Nonferrous Mining Corp. Ltd.,HKG:1258,52.4,Severe ESG Risk,249
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",SHG:600111,69.3,Severe ESG Risk,249
China Oil & Gas Group Ltd.,HKG:603,35.6,High ESG Risk,249
"China Oil HBP Science & Technology Co., Ltd.",SHE:002554,32.3,High ESG Risk,249
China Oilfield Services Ltd.,HKG:2883,32,High ESG Risk,249
China Orient Asset Management Co. Ltd.,-,35.3,High ESG Risk,249
China Oriental Group Co. Ltd.,HKG:581,42.1,Severe ESG Risk,250
China Overseas Grand Oceans Group Ltd.,HKG:81,27.1,Medium ESG Risk,250
China Overseas Land & Investment Ltd.,HKG:688,13.7,Low ESG Risk,250
China Overseas Property Holdings Ltd.,HKG:2669,14,Low ESG Risk,250
"China Pacific Insurance (Group) Co., Ltd.",HKG:2601,27.8,Medium ESG Risk,250
China Petrochemical Corp.,-,66.9,Severe ESG Risk,250
China Petrochemical Development Corp.,TAI:1314,25.3,Medium ESG Risk,250
China Petroleum & Chemical Corp.,HKG:386,52.1,Severe ESG Risk,250
China Petroleum Engineering Corp.,SHG:600339,43.9,Severe ESG Risk,250
China Power International Development Ltd.,HKG:2380,50.4,Severe ESG Risk,250
"China Publishing & Media Holdings Co., Ltd.",SHG:601949,16.3,Low ESG Risk,251
China Qinfa Group Ltd.,HKG:866,47.1,Severe ESG Risk,251
China Railway Construction Corp. Ltd.,HKG:1186,59.7,Severe ESG Risk,251
China Railway Construction Heavy Industry Corp. Ltd.,SHG:688425,31.6,High ESG Risk,251
China Railway Group Ltd.,HKG:390,49.7,Severe ESG Risk,251
China Railway Hi-tech Industry Corp. Ltd.,SHG:600528,32.1,High ESG Risk,251
"China Railway Materials Co., Ltd.",SHE:000927,32.6,High ESG Risk,251
China Railway Signal & Communication Corp. Ltd.,HKG:3969,24.8,Medium ESG Risk,251
"China Railway Special Cargo Logistics Co., Ltd.",SHE:001213,27.4,Medium ESG Risk,251
"China Railway Tielong Container Logistics Co., Ltd.",SHG:600125,30.5,High ESG Risk,251
"China Rare Earth Resources & Technology Co., Ltd.",SHE:000831,55.6,Severe ESG Risk,252
"China Reform Health Management & Services Group Co., Ltd.",SHE:000503,19.3,Low ESG Risk,252
"China Reform Holdings Corp., Ltd.",-,35.6,High ESG Risk,252
China Reinsurance (Group) Corp.,HKG:1508,33.1,High ESG Risk,252
China Resources Beer (Holdings) Co. Ltd.,HKG:291,30.7,High ESG Risk,252
"China Resources Boya Bio-pharmaceutical Group Co., Ltd.",SHE:300294,35.5,High ESG Risk,252
China Resources Building Materials Technology Holdings Ltd.,HKG:1313,30.5,High ESG Risk,252
"China Resources Double-Crane Pharmaceutical Co., Ltd.",SHG:600062,32.4,High ESG Risk,252
China Resources Gas Group Ltd.,HKG:1193,29.8,Medium ESG Risk,252
China Resources Land Ltd.,HKG:1109,23.1,Medium ESG Risk,252
"China Resources Medical Holdings Co., Ltd.",HKG:1515,28.7,Medium ESG Risk,253
China Resources Microelectronics Ltd.,SHG:688396,34.1,High ESG Risk,253
China Resources Mixc Lifestyle Services Ltd.,HKG:1209,12,Low ESG Risk,253
China Resources Pharmaceutical Group Ltd.,HKG:3320,36.5,High ESG Risk,253
"China Resources Power Holdings Co., Ltd.",HKG:836,40.1,Severe ESG Risk,253
"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.",SHE:000999,30.3,High ESG Risk,253
China Risun Group Ltd.,HKG:1907,45.8,Severe ESG Risk,253
China Ruyi Holdings Ltd.,HKG:136,16.1,Low ESG Risk,253
China Science Publishing & Media Ltd.,SHG:601858,17,Low ESG Risk,253
"China Shenhua Energy Co., Ltd.",HKG:1088,43,Severe ESG Risk,253
China Shineway Pharmaceutical Group Ltd.,HKG:2877,26.8,Medium ESG Risk,254
China South City Holdings Ltd.,HKG:1668,19.7,Low ESG Risk,254
"China South Publishing & Media Group Co., Ltd.",SHG:601098,15.5,Low ESG Risk,254
China Southern Airlines Co. Ltd.,HKG:1055,31.6,High ESG Risk,254
"China Southern Power Grid Co., Ltd.",-,52.5,Severe ESG Risk,254
China Southern Power Grid Energy Efficiency & Clean Energy,SHE:003035,48.7,Severe ESG Risk,254
"China Southern Power Grid Technology Co., Ltd.",SHG:688248,44,Severe ESG Risk,254
China State Construction Engineering Corp. Ltd.,SHG:601668,52.8,Severe ESG Risk,254
China State Construction International Holdings Ltd.,HKG:3311,37.3,High ESG Risk,254
China State Shipbuilding Corp. Ltd.,-,35.4,High ESG Risk,254
China Steel Chemical Corp.,TAI:1723,27.9,Medium ESG Risk,255
China Steel Corp.,TAI:2002,29.1,Medium ESG Risk,255
"China Suntien Green Energy Corp., Ltd.",HKG:956,38.6,High ESG Risk,255
"China Taiping Insurance Holdings Co., Ltd.",HKG:966,30.2,High ESG Risk,255
China Telecom Corp. Ltd.,HKG:728,30.8,High ESG Risk,255
"China Three Gorges Renewables (Group) Co., Ltd.",SHG:600905,29.1,Medium ESG Risk,255
"China Tianrui Group Cement Co., Ltd.",HKG:1252,34.6,High ESG Risk,255
"China Tianying, Inc.",SHE:000035,25.6,Medium ESG Risk,255
"China Tobacco International (HK) Co., Ltd.",HKG:6055,32.6,High ESG Risk,255
China Tourism Group Duty Free Corp. Ltd.,HKG:1880,17.7,Low ESG Risk,255
China Tower Corp. Ltd.,HKG:788,25.4,Medium ESG Risk,256
China Traditional Chinese Medicine Holdings Co. Ltd.,HKG:570,37.9,High ESG Risk,256
"China TransInfo Technology Co., Ltd.",SHE:002373,20.2,Medium ESG Risk,256
China Travel International Investment Hong Kong Ltd.,HKG:308,33,High ESG Risk,256
"China Tungsten & Hightech Materials Co., Ltd.",SHE:000657,49.1,Severe ESG Risk,256
China Unicom (Hong Kong) Ltd.,HKG:762,36,High ESG Risk,256
China Union Holdings Ltd.,SHE:000036,22.2,Medium ESG Risk,256
China United Network Communications Ltd.,SHG:600050,33.7,High ESG Risk,256
"China Vanke Co., Ltd.",HKG:2202,16.1,Low ESG Risk,256
"China Wafer Level CSP Co., Ltd.",SHG:603005,26,Medium ESG Risk,256
China Water Affairs Group Ltd.,HKG:855,35.4,High ESG Risk,257
"China West Construction Co., Ltd.",SHE:002302,45.5,Severe ESG Risk,257
"China World Trade Center Co., Ltd.",SHG:600007,22.4,Medium ESG Risk,257
"China XD Electric Co., Ltd.",SHG:601179,36.8,High ESG Risk,257
China XLX Fertiliser Ltd.,HKG:1866,49.4,Severe ESG Risk,257
"China Yangtze Power Co., Ltd.",SHG:600900,20.7,Medium ESG Risk,257
China Yongda Automobiles Services Holdings Ltd.,HKG:3669,13.5,Low ESG Risk,257
China Youran Dairy Group Ltd.,HKG:9858,33.5,High ESG Risk,257
"China Zhenhua (Group) Science & Technology Co., Ltd.",SHE:000733,27.5,Medium ESG Risk,257
"China Zheshang Bank Co., Ltd.",HKG:2016,25.2,Medium ESG Risk,257
China-Singapore Suzhou Industrial Park Development Co. Ltd.,SHG:601512,24.7,Medium ESG Risk,258
"ChinaLin Securities Co., Ltd.",SHE:002945,35.4,High ESG Risk,258
Chinasoft International Ltd.,HKG:354,22.7,Medium ESG Risk,258
Chindata Group Holdings Ltd.,-,22.2,Medium ESG Risk,258
"Chinese Universe Publishing & Media Group Co., Ltd.",SHG:600373,15,Low ESG Risk,258
"Chinook Therapeutics, Inc.",-,36.3,High ESG Risk,258
Chipbond Technology Corp.,ROCO:6147,23.7,Medium ESG Risk,258
"ChipMOS Technologies, Inc.",TAI:8150,28.8,Medium ESG Risk,258
"Chipotle Mexican Grill, Inc.",NYS:CMG,20.1,Medium ESG Risk,258
"Chiyoda Co., Ltd.",TKS:8185,20.6,Medium ESG Risk,258
Chiyoda Corp.,TKS:6366,34.8,High ESG Risk,259
"Chiyoda Integre Co., Ltd.",TKS:6915,12.7,Low ESG Risk,259
Chlitina Holding Ltd.,TAI:4137,29.8,Medium ESG Risk,259
"CHN Energy Changyuan Electric Power Co., Ltd.",SHE:000966,49.4,Severe ESG Risk,259
Chocoladefabriken Lindt & Sprüngli AG,SWX:LISN,20.9,Medium ESG Risk,259
"Chofu Seisakusho Co., Ltd.",TKS:5946,28.7,Medium ESG Risk,259
"Choice Hotels International, Inc.",NYS:CHH,26.7,Medium ESG Risk,259
Choice Properties Real Estate Investment Trust,TSE:CHP.UT,10.6,Low ESG Risk,259
"ChoiceOne Financial Services, Inc.",NAS:COFS,30.5,High ESG Risk,259
Cholamandalam Financial Holdings Ltd.,BOM:504973,30.8,High ESG Risk,259
Cholamandalam Investment & Finance Co. Ltd.,BOM:511243,24.1,Medium ESG Risk,260
"Chong Hong Construction Co., Ltd.",TAI:5534,23.9,Medium ESG Risk,260
Chong Kun Dang Pharmaceutical Corp.,KRX:185750,35.1,High ESG Risk,260
ChongKunDang Holdings Corp.,KRX:001630,38.8,High ESG Risk,260
"Chongqing Brewery Co., Ltd.",SHG:600132,20.4,Medium ESG Risk,260
Chongqing Changan Automobile Co. Ltd.,SHE:000625,35.8,High ESG Risk,260
"Chongqing Department Store Co., Ltd.",SHG:600729,23.1,Medium ESG Risk,260
"Chongqing Fuling Electric Power Co., Ltd.",SHG:600452,47.9,Severe ESG Risk,260
"Chongqing Fuling Zhacai Group Co., Ltd.",SHE:002507,36.3,High ESG Risk,260
Chongqing Hongjiu Fruit Co. Ltd.,HKG:6689,16.6,Low ESG Risk,260
"Chongqing Iron & Steel Co., Ltd.",HKG:1053,42.2,Severe ESG Risk,261
"Chongqing Road & Bridge Co., Ltd.",SHG:600106,48.3,Severe ESG Risk,261
"Chongqing Rural Commercial Bank Co., Ltd.",HKG:3618,26.2,Medium ESG Risk,261
"Chongqing Sanfeng Environmental Group Corp., Ltd.",SHG:601827,28.7,Medium ESG Risk,261
"Chongqing Taiji Industry (Group) Co., Ltd.",SHG:600129,42.7,Severe ESG Risk,261
Chongqing Three Gorges Water Conservancy & Elect Pwr Co. Ltd.,SHG:600116,55.3,Severe ESG Risk,261
"Chongqing Water Group Co., Ltd.",SHG:601158,39.9,High ESG Risk,261
Chongqing Zaisheng Technology Corp. Ltd.,SHG:603601,28.8,Medium ESG Risk,261
"Chongqing Zhifei Biological Products Co., Ltd.",SHE:300122,26.7,Medium ESG Risk,261
"Chongqing Zongshen Power Machinery Co., Ltd.",SHE:001696,22.6,Medium ESG Risk,261
"Chongyi Zhangyuan Tungsten Co., Ltd.",SHE:002378,55.2,Severe ESG Risk,262
Chord Energy Corp.,NAS:CHRD,35.1,High ESG Risk,262
"Chori Co., Ltd.",TKS:8014,14.3,Low ESG Risk,262
"Chorus Aviation, Inc.",TSE:CHR,32.4,High ESG Risk,262
Chorus Ltd.,NZE:CNU,24.6,Medium ESG Risk,262
Chouzhou International Investment Ltd.,-,36,High ESG Risk,262
Chow Sang Sang Holdings International Ltd.,HKG:116,19.8,Low ESG Risk,262
Chow Tai Fook Jewellery Group Ltd.,HKG:1929,14.6,Low ESG Risk,262
Chow Tai Seng Jewelry Co. Ltd.,SHE:002867,20.3,Medium ESG Risk,262
Chr. Hansen Holding A/S,-,12.8,Low ESG Risk,262
Christian Berner Tech Trade AB,OME:BERNER.B,8.4,Negligible ESG Risk,263
Christian Dior SE,PAR:CDI,19.2,Low ESG Risk,263
"Chroma Ate, Inc.",TAI:2360,12.9,Low ESG Risk,263
Chrysalis Investments Ltd.,LON:CHRY,36.2,High ESG Risk,263
Chubb Ltd.,NYS:CB,22.4,Medium ESG Risk,263
"Chubu Electric Power Co., Inc.",TKS:9502,34.8,High ESG Risk,263
"Chubu Steel Plate Co., Ltd.",TKS:5461,40.7,Severe ESG Risk,263
"Chubushiryo Co., Ltd.",TKS:2053,46.8,Severe ESG Risk,263
CHUDENKO CORP.,TKS:1941,33.2,High ESG Risk,263
"Chugai Pharmaceutical Co., Ltd.",TKS:4519,20.5,Medium ESG Risk,263
"Chugin Financial Group, Inc.",TKS:5832,27.7,Medium ESG Risk,264
"Chugoku Marine Paints, Ltd.",TKS:4617,33,High ESG Risk,264
Chularat Hospital PCL,BKK:CHG,26.7,Medium ESG Risk,264
"Chun Yuan Steel Industry Co., Ltd.",TAI:2010,43,Severe ESG Risk,264
"CHUNBO Co., Ltd.",KRX:278280,40.8,Severe ESG Risk,264
Chung Hung Steel Corp.,TAI:2014,28.7,Medium ESG Risk,264
Chung Hwa Pulp Corp.,TAI:1905,24.1,Medium ESG Risk,264
Chung-Hsin Electric & Machinery Mfg. Corp.,TAI:1513,38.9,High ESG Risk,264
"Chunghwa Precision Test Tech Co., Ltd.",ROCO:6510,19.9,Low ESG Risk,264
"Chunghwa Telecom Co., Ltd.",TAI:2412,17,Low ESG Risk,264
"Chuo Spring Co., Ltd.",TKS:5992,25.5,Medium ESG Risk,265
"Church & Dwight Co., Inc.",NYS:CHD,22.7,Medium ESG Risk,265
"Churchill Downs, Inc.",NAS:CHDN,27.5,Medium ESG Risk,265
"Chuy's Holdings, Inc.",-,30.4,High ESG Risk,265
CI Financial Corp.,TSE:CIX,25.8,Medium ESG Risk,265
CI Games SA,WAR:CIG,15.7,Low ESG Risk,265
Cibus Nordic Real Estate AB,OME:CIBUS,14.9,Low ESG Risk,265
