company_name,ticker,esg_score,risk_level,page_number
Abu Dhabi Aviation Co.,ADS:ADAVIATION,31.8,High ESG Risk,10
Abu Dhabi Commercial Bank,ADS:ADCB,13,Low ESG Risk,10
Abu Dhabi Crude Oil Pipeline LLC,-,37.8,High ESG Risk,10
Abu Dhabi Islamic Bank,ADS:ADIB,30.2,High ESG Risk,10
Abu Dhabi National Energy Co. PJSC,ADS:TAQA,18.1,Low ESG Risk,10
Abu Dhabi National Hotels,ADS:ADNH,29.7,Medium ESG Risk,10
Abu Dhabi National Oil Co. for Distribution PJSC,ADS:ADNOCDIST,31.7,High ESG Risk,10
Abu Dhabi Ports Co. PJSC,ADS:ADPORTS,18.4,Low ESG Risk,10
Acacia Research Corp.,NAS:ACTG,18.8,Low ESG Risk,10
AcadeMedia AB,OME:ACAD,16,Low ESG Risk,11
"Academy Sports & Outdoors, Inc.",NAS:ASO,15.9,Low ESG Risk,11
"Acadia Healthcare Co., Inc.",NAS:ACHC,29.2,Medium ESG Risk,11
"ACADIA Pharmaceuticals, Inc.",NAS:ACAD,24.1,Medium ESG Risk,11
Acadia Realty Trust,NYS:AKR,13.9,Low ESG Risk,11
"AcBel Polytech, Inc.",TAI:6282,16.5,Low ESG Risk,11
ACC Ltd.,BOM:500410,23.9,Medium ESG Risk,11
"Accel Entertainment, Inc.",NYS:ACEL,19.5,Low ESG Risk,11
"Accelink Technologies Co., Ltd.",SHE:002281,21.4,Medium ESG Risk,11
Accelleron Industries AG,SWX:ACLN,26.6,Medium ESG Risk,11
Accent Group Ltd.,ASX:AX1,16,Low ESG Risk,12
Accenture Plc,NYS:ACN,11.9,Low ESG Risk,12
Accès Recherche Montréal LP,-,34.9,High ESG Risk,12
Access Bank Plc,-,28.3,Medium ESG Risk,12
Access Prairies Partnership,-,45.7,Severe ESG Risk,12
Acciona SA,MCE:ANA,16.2,Low ESG Risk,12
ACCO Brands Corp.,NYS:ACCO,5.7,Negligible ESG Risk,12
"Accolade, Inc.",NAS:ACCD,20.6,Medium ESG Risk,12
Accor SA,PAR:AC,16.1,Low ESG Risk,12
Accton Technology Corp.,TAI:2345,19,Low ESG Risk,12
"Accuray, Inc.",NAS:ARAY,31.6,High ESG Risk,13
Ace Technologies Corp.,KRX:088800,25,Medium ESG Risk,13
Acea SpA,MIL:ACE,15.4,Low ESG Risk,13
ACEN Corp.,PHS:ACEN,29,Medium ESG Risk,13
"Acer, Inc.",TAI:2353,14.3,Low ESG Risk,13
Acerinox SA,MCE:ACX,28.3,Medium ESG Risk,13
Achilles Corp.,TKS:5142,28.8,Medium ESG Risk,13
Achmea Bank NV,-,20.9,Medium ESG Risk,13
Achmea BV,-,14.3,Low ESG Risk,13
"ACI Worldwide, Inc.",NAS:ACIW,22.4,Medium ESG Risk,13
Ackermans & van Haaren NV,BRU:ACKB,7.2,Negligible ESG Risk,14
"Aclaris Therapeutics, Inc.",NAS:ACRS,32.7,High ESG Risk,14
"ACM Research (Shanghai), Inc.",SHG:688082,31.3,High ESG Risk,14
"ACM Research, Inc.",NAS:ACMR,32.1,High ESG Risk,14
ACNB Corp.,NAS:ACNB,30.6,High ESG Risk,14
"ACOM Co., Ltd.",TKS:8572,23.3,Medium ESG Risk,14
ACOMO NV,AMS:ACOMO,11.6,Low ESG Risk,14
Acrinova AB,OME:ACRI.A,23.1,Medium ESG Risk,14
"Acrivon Therapeutics, Inc.",NAS:ACRV,35.8,High ESG Risk,14
ACS Actividades de Construcción y Servicios SA,MCE:ACS,28.9,Medium ESG Risk,14
