company_name,ticker,esg_score,risk_level,page_number,exchange,clean_ticker,risk_category
"Affiliated Managers Group, Inc.",NYS:AMG,19.6,Low ESG Risk,28,NYS,AMG,Low Risk
"Affirm Holdings, Inc.",NAS:AFRM,22.9,Medium ESG Risk,28,NAS,AFRM,Medium Risk
"Aflac, Inc.",NYS:AFL,17.5,Low ESG Risk,28,NYS,AFL,Low Risk
AGCO Corp.,NYS:AGCO,17.1,Low ESG Risk,30,NYS,AGCO,Low Risk
"Agenus, Inc.",NAS:AGEN,36.9,High ESG Risk,30,NAS,AGEN,High Risk
"Agilent Technologies, Inc.",NYS:A,11.4,Low ESG Risk,31,NYS,A,Low Risk
"Agilon Health, Inc.",NYS:AGL,23.5,Medium ESG Risk,31,NYS,AGL,Medium Risk
"Agilysys, Inc.",NAS:AGYS,13.2,Low ESG Risk,31,NAS,AGYS,Low Risk
"Agios Pharmaceuticals, Inc.",NAS:AGIO,26.6,Medium ESG Risk,31,NAS,AGIO,Medium Risk
AGNC Investment Corp.,NAS:AGNC,8.7,Negligible ESG Risk,31,NAS,AGNC,Low Risk
Agree Realty Corp.,NYS:ADC,15.2,Low ESG Risk,32,NYS,ADC,Low Risk
Air Lease Corp.,NYS:AL,13.4,Low ESG Risk,35,NYS,AL,Low Risk
"Air Products & Chemicals, Inc.",NYS:APD,14.8,Low ESG Risk,35,NYS,APD,Low Risk
"Air Transport Services Group, Inc.",NAS:ATSG,23.6,Medium ESG Risk,36,NAS,ATSG,Medium Risk
"Airbnb, Inc.",NAS:ABNB,23.7,Medium ESG Risk,36,NAS,ABNB,Medium Risk
"AirSculpt Technologies, Inc.",NAS:AIRS,33.1,High ESG Risk,37,NAS,AIRS,High Risk
"Akamai Technologies, Inc.",NAS:AKAM,13.3,Low ESG Risk,38,NAS,AKAM,Low Risk
"Akero Therapeutics, Inc.",NAS:AKRO,37.6,High ESG Risk,39,NAS,AKRO,High Risk
"Akoustis Technologies, Inc.",NAS:AKTS,24.4,Medium ESG Risk,39,NAS,AKTS,Medium Risk
"Akoya Biosciences, Inc.",NAS:AKYA,31.8,High ESG Risk,39,NAS,AKYA,High Risk
"Alamo Group, Inc.",NYS:ALG,22.4,Medium ESG Risk,42,NYS,ALG,Medium Risk
"Alarm.com Holdings, Inc.",NAS:ALRM,24.4,Medium ESG Risk,42,NAS,ALRM,Medium Risk
"Alaska Air Group, Inc.",NYS:ALK,25.2,Medium ESG Risk,42,NYS,ALK,Medium Risk
Albany International Corp.,NYS:AIN,19.4,Low ESG Risk,42,NYS,AIN,Low Risk
Albemarle Corp.,NYS:ALB,20.1,Medium ESG Risk,42,NYS,ALB,Medium Risk
"Albertsons Cos., Inc.",NYS:ACI,31.9,High ESG Risk,43,NYS,ACI,High Risk
Alcoa Corp.,NYS:AA,25.1,Medium ESG Risk,43,NYS,AA,Medium Risk
"Aldeyra Therapeutics, Inc.",NAS:ALDX,29.3,Medium ESG Risk,43,NAS,ALDX,Medium Risk
"Alector, Inc.",NAS:ALEC,27.3,Medium ESG Risk,44,NAS,ALEC,Medium Risk
Alerus Financial Corp.,NAS:ALRS,29.8,Medium ESG Risk,44,NAS,ALRS,Medium Risk
"Alexander & Baldwin, Inc.",NYS:ALEX,21.2,Medium ESG Risk,44,NYS,ALEX,Medium Risk
"Alexander's, Inc.",NYS:ALX,20.2,Medium ESG Risk,44,NYS,ALX,Medium Risk
"Alexandria Real Estate Equities, Inc.",NYS:ARE,13.1,Low ESG Risk,45,NYS,ARE,Low Risk
"Alight, Inc.",NYS:ALIT,17.7,Low ESG Risk,46,NYS,ALIT,Low Risk
"Align Technology, Inc.",NAS:ALGN,18.6,Low ESG Risk,46,NAS,ALGN,Low Risk
"Alignment Healthcare, Inc.",NAS:ALHC,23.2,Medium ESG Risk,47,NAS,ALHC,Medium Risk
"Alkami Technology, Inc.",NAS:ALKT,27.4,Medium ESG Risk,47,NAS,ALKT,Medium Risk
Alkermes Plc,NAS:ALKS,22.8,Medium ESG Risk,48,NAS,ALKS,Medium Risk
"Allakos, Inc.",NAS:ALLK,32.8,High ESG Risk,48,NAS,ALLK,High Risk
"Allbirds, Inc.",NAS:BIRD,18.3,Low ESG Risk,48,NAS,BIRD,Low Risk
Allegiant Travel Co.,NAS:ALGT,34.1,High ESG Risk,48,NAS,ALGT,High Risk
Allegion Plc,NYS:ALLE,19.8,Low ESG Risk,48,NYS,ALLE,Low Risk
"Allegro MicroSystems, Inc.",NAS:ALGM,14.1,Low ESG Risk,49,NAS,ALGM,Low Risk
"ALLETE, Inc.",NYS:ALE,32.8,High ESG Risk,49,NYS,ALE,High Risk
Alliance Resource Partners LP,NAS:ARLP,54.6,Severe ESG Risk,49,NAS,ARLP,High Risk
Alliant Energy Corp.,NAS:LNT,17.1,Low ESG Risk,49,NAS,LNT,Low Risk
"Allient, Inc.",NAS:ALNT,23.4,Medium ESG Risk,50,NAS,ALNT,Medium Risk
"Allison Transmission Holdings, Inc.",NYS:ALSN,28.1,Medium ESG Risk,51,NYS,ALSN,Medium Risk
"Allogene Therapeutics, Inc.",NAS:ALLO,25.2,Medium ESG Risk,51,NAS,ALLO,Medium Risk
"AlloVir, Inc.",NAS:ALVR,31.3,High ESG Risk,51,NAS,ALVR,High Risk
"Ally Financial, Inc.",NYS:ALLY,22.6,Medium ESG Risk,51,NYS,ALLY,Medium Risk
"Alnylam Pharmaceuticals, Inc.",NAS:ALNY,26.7,Medium ESG Risk,52,NAS,ALNY,Medium Risk
Alpha & Omega Semiconductor Ltd.,NAS:AOSL,29.3,Medium ESG Risk,53,NAS,AOSL,Medium Risk
"Alpha Metallurgical Resources, Inc.",NYS:AMR,52.0,Severe ESG Risk,53,NYS,AMR,High Risk
"Alphabet, Inc.",NAS:GOOGL,23.9,Medium ESG Risk,54,NAS,GOOGL,Medium Risk
"Alphatec Holdings, Inc.",NAS:ATEC,33.7,High ESG Risk,54,NAS,ATEC,High Risk
"Alpine Income Property Trust, Inc.",NYS:PINE,23.0,Medium ESG Risk,54,NYS,PINE,Medium Risk
"Alta Equipment Group, Inc.",NYS:ALTG,31.7,High ESG Risk,55,NYS,ALTG,High Risk
"Altair Engineering, Inc.",NAS:ALTR,24.9,Medium ESG Risk,55,NAS,ALTR,Medium Risk
"Altice USA, Inc.",NYS:ATUS,22.6,Medium ESG Risk,57,NYS,ATUS,Medium Risk
"Altimmune, Inc.",NAS:ALT,37.1,High ESG Risk,57,NAS,ALT,High Risk
"Altria Group, Inc.",NYS:MO,31.3,High ESG Risk,57,NYS,MO,High Risk
"Altus Power, Inc.",NYS:AMPS,25.5,Medium ESG Risk,57,NYS,AMPS,Medium Risk
Alvotech,NAS:ALVO,29.5,Medium ESG Risk,58,NAS,ALVO,Medium Risk
"ALX Oncology Holdings, Inc.",NAS:ALXO,35.9,High ESG Risk,58,NAS,ALXO,High Risk
Amalgamated Financial Corp.,NAS:AMAL,19.2,Low ESG Risk,58,NAS,AMAL,Low Risk
"Amazon.com, Inc.",NAS:AMZN,29.0,Medium ESG Risk,59,NAS,AMZN,Medium Risk
"Ambac Financial Group, Inc.",NYS:AMBC,27.0,Medium ESG Risk,59,NYS,AMBC,Medium Risk
"Ambarella, Inc.",NAS:AMBA,34.6,High ESG Risk,59,NAS,AMBA,High Risk
"AMC Entertainment Holdings, Inc.",NYS:AMC,18.1,Low ESG Risk,60,NYS,AMC,Low Risk
"AMC Networks, Inc.",NAS:AMCX,24.9,Medium ESG Risk,60,NAS,AMCX,Medium Risk
Amcor Plc,NYS:AMCR,14.7,Low ESG Risk,60,NYS,AMCR,Low Risk
Amdocs Ltd.,NAS:DOX,13.9,Low ESG Risk,60,NAS,DOX,Low Risk
"Amedisys, Inc.",NAS:AMED,21.7,Medium ESG Risk,61,NAS,AMED,Medium Risk
"Amerant Bancorp, Inc.",NYS:AMTB,31.9,High ESG Risk,61,NYS,AMTB,High Risk
Ameren Corp.,NYS:AEE,26.2,Medium ESG Risk,61,NYS,AEE,Medium Risk
"Ameresco, Inc.",NYS:AMRC,30.7,High ESG Risk,61,NYS,AMRC,High Risk
"America's Car-Mart, Inc.",NAS:CRMT,12.7,Low ESG Risk,61,NAS,CRMT,Low Risk
"American Airlines Group, Inc.",NAS:AAL,23.7,Medium ESG Risk,61,NAS,AAL,Medium Risk
"American Assets Trust, Inc.",NYS:AAT,18.7,Low ESG Risk,62,NYS,AAT,Low Risk
"American Axle & Manufacturing Holdings, Inc.",NYS:AXL,15.1,Low ESG Risk,62,NYS,AXL,Low Risk
"American Eagle Outfitters, Inc.",NYS:AEO,15.2,Low ESG Risk,62,NYS,AEO,Low Risk
"American Electric Power Co., Inc.",NAS:AEP,22.1,Medium ESG Risk,62,NAS,AEP,Medium Risk
American Express Co.,NYS:AXP,18.3,Low ESG Risk,62,NYS,AXP,Low Risk
"American Financial Group, Inc.",NYS:AFG,29.4,Medium ESG Risk,62,NYS,AFG,Medium Risk
American Homes 4 Rent,NYS:AMH,11.6,Low ESG Risk,62,NYS,AMH,Low Risk
"American International Group, Inc.",NYS:AIG,23.6,Medium ESG Risk,62,NYS,AIG,Medium Risk
"American Realty Investors, Inc.",NYS:ARL,26.1,Medium ESG Risk,63,NYS,ARL,Medium Risk
"American Software, Inc.",NAS:LGTY,23.9,Medium ESG Risk,63,NAS,LGTY,Medium Risk
American States Water Co.,NYS:AWR,32.5,High ESG Risk,63,NYS,AWR,High Risk
American Tower Corp.,NYS:AMT,12.6,Low ESG Risk,63,NYS,AMT,Low Risk
American Vanguard Corp.,NYS:AVD,41.5,Severe ESG Risk,63,NYS,AVD,High Risk
"American Water Works Co., Inc.",NYS:AWK,19.1,Low ESG Risk,63,NYS,AWK,Low Risk
American Well Corp.,NYS:AMWL,23.9,Medium ESG Risk,64,NYS,AMWL,Medium Risk
American Woodmark Corp.,NAS:AMWD,34.3,High ESG Risk,64,NAS,AMWD,High Risk
"Americold Realty Trust, Inc.",NYS:COLD,14.1,Low ESG Risk,64,NYS,COLD,Low Risk
"Ameriprise Financial, Inc.",NYS:AMP,18.7,Low ESG Risk,64,NYS,AMP,Low Risk
Ameris Bancorp,NYS:ABCB,31.7,High ESG Risk,64,NYS,ABCB,High Risk
"AMERISAFE, Inc.",NAS:AMSF,26.6,Medium ESG Risk,64,NAS,AMSF,Medium Risk
Ames National Corp.,NAS:ATLO,31.2,High ESG Risk,64,NAS,ATLO,High Risk
"AMETEK, Inc.",NYS:AME,21.1,Medium ESG Risk,64,NYS,AME,Medium Risk
"Amgen, Inc.",NAS:AMGN,22.8,Medium ESG Risk,65,NAS,AMGN,Medium Risk
"Amicus Therapeutics, Inc.",NAS:FOLD,27.5,Medium ESG Risk,65,NAS,FOLD,Medium Risk
"Amkor Technology, Inc.",NAS:AMKR,23.0,Medium ESG Risk,65,NAS,AMKR,Medium Risk
"AMMO, Inc.",NAS:POWW,16.4,Low ESG Risk,65,NAS,POWW,Low Risk
"AMN Healthcare Services, Inc.",NYS:AMN,18.7,Low ESG Risk,65,NYS,AMN,Low Risk
"Amphastar Pharmaceuticals, Inc.",NAS:AMPH,33.4,High ESG Risk,66,NAS,AMPH,High Risk
Amphenol Corp.,NYS:APH,17.8,Low ESG Risk,66,NYS,APH,Low Risk
Amplify Energy Corp.,NYS:AMPY,46.3,Severe ESG Risk,67,NYS,AMPY,High Risk
"Amplitude, Inc.",NAS:AMPL,20.9,Medium ESG Risk,67,NAS,AMPL,Medium Risk
"Amylyx Pharmaceuticals, Inc.",NAS:AMLX,33.8,High ESG Risk,68,NAS,AMLX,High Risk
"Analog Devices, Inc.",NAS:ADI,18.3,Low ESG Risk,68,NAS,ADI,Low Risk
"AnaptysBio, Inc.",NAS:ANAB,25.4,Medium ESG Risk,69,NAS,ANAB,Medium Risk
Anavex Life Sciences Corp.,NAS:AVXL,29.0,Medium ESG Risk,69,NAS,AVXL,Medium Risk
"Angel Oak Mortgage REIT, Inc.",NYS:AOMR,24.9,Medium ESG Risk,70,NYS,AOMR,Medium Risk
"Angi, Inc.",NAS:ANGI,28.4,Medium ESG Risk,70,NAS,ANGI,Medium Risk
"AngioDynamics, Inc.",NAS:ANGO,29.8,Medium ESG Risk,70,NAS,ANGO,Medium Risk
"ANI Pharmaceuticals, Inc.",NAS:ANIP,36.3,High ESG Risk,73,NAS,ANIP,High Risk
"Anika Therapeutics, Inc.",NAS:ANIK,11.7,Low ESG Risk,73,NAS,ANIK,Low Risk
"Annaly Capital Management, Inc.",NYS:NLY,9.6,Negligible ESG Risk,74,NYS,NLY,Low Risk
"Annexon, Inc.",NAS:ANNX,33.5,High ESG Risk,74,NAS,ANNX,High Risk
"ANSYS, Inc.",NAS:ANSS,14.5,Low ESG Risk,75,NAS,ANSS,Low Risk
"Anterix, Inc.",NAS:ATEX,32.5,High ESG Risk,75,NAS,ATEX,High Risk
Antero Midstream Corp.,NYS:AM,25.6,Medium ESG Risk,75,NYS,AM,Medium Risk
Antero Resources Corp.,NYS:AR,34.5,High ESG Risk,75,NYS,AR,High Risk
"Anywhere Real Estate, Inc.",NYS:HOUS,8.0,Negligible ESG Risk,76,NYS,HOUS,Low Risk
Aon Plc,NYS:AON,15.3,Low ESG Risk,76,NYS,AON,Low Risk
APA Corp.,NAS:APA,43.1,Severe ESG Risk,77,NAS,APA,High Risk
Apartment Investment & Management Co.,NYS:AIV,19.7,Low ESG Risk,78,NYS,AIV,Low Risk
"Apellis Pharmaceuticals, Inc.",NAS:APLS,24.4,Medium ESG Risk,78,NAS,APLS,Medium Risk
APi Group Corp.,NYS:APG,24.0,Medium ESG Risk,78,NYS,APG,Medium Risk
"Apogee Enterprises, Inc.",NAS:APOG,32.3,High ESG Risk,79,NAS,APOG,High Risk
"Apogee Therapeutics, Inc.",NAS:APGE,30.8,High ESG Risk,79,NAS,APGE,High Risk
"Apollo Commercial Real Estate Finance, Inc.",NYS:ARI,14.9,Low ESG Risk,79,NYS,ARI,Low Risk
"Apollo Global Management, Inc.",NYS:APO,23.8,Medium ESG Risk,79,NYS,APO,Medium Risk
"AppFolio, Inc.",NAS:APPF,21.9,Medium ESG Risk,79,NAS,APPF,Medium Risk
Appian Corp.,NAS:APPN,25.3,Medium ESG Risk,80,NAS,APPN,Medium Risk
"Apple Hospitality REIT, Inc.",NYS:APLE,17.4,Low ESG Risk,80,NYS,APLE,Low Risk
"Apple, Inc.",NAS:AAPL,16.8,Low ESG Risk,80,NAS,AAPL,Low Risk
Applied Digital Corp.,NAS:APLD,19.2,Low ESG Risk,80,NAS,APLD,Low Risk
"Applied Industrial Technologies, Inc.",NYS:AIT,24.1,Medium ESG Risk,80,NYS,AIT,Medium Risk
"Applied Materials, Inc.",NAS:AMAT,11.6,Low ESG Risk,80,NAS,AMAT,Low Risk
AppLovin Corp.,NAS:APP,19.2,Low ESG Risk,80,NAS,APP,Low Risk
"AptarGroup, Inc.",NYS:ATR,9.8,Negligible ESG Risk,81,NYS,ATR,Low Risk
Aptiv Plc,NYS:APTV,12.9,Low ESG Risk,81,NYS,APTV,Low Risk
Aramark,NYS:ARMK,22.2,Medium ESG Risk,83,NYS,ARMK,Medium Risk
"Arbor Realty Trust, Inc.",NYS:ABR,20.8,Medium ESG Risk,83,NYS,ABR,Medium Risk
Arbutus Biopharma Corp.,NAS:ABUS,25.5,Medium ESG Risk,83,NAS,ABUS,Medium Risk
ArcBest Corp.,NAS:ARCB,15.3,Low ESG Risk,84,NAS,ARCB,Low Risk
"Arcellx, Inc.",NAS:ACLX,26.9,Medium ESG Risk,84,NAS,ACLX,Medium Risk
Arch Capital Group Ltd.,NAS:ACGL,20.3,Medium ESG Risk,85,NAS,ACGL,Medium Risk
"Arch Resources, Inc.",NYS:ARCH,47.7,Severe ESG Risk,85,NYS,ARCH,High Risk
"Archer Aviation, Inc.",NYS:ACHR,37.1,High ESG Risk,85,NYS,ACHR,High Risk
Archer-Daniels-Midland Co.,NYS:ADM,31.3,High ESG Risk,85,NYS,ADM,High Risk
"Archrock, Inc.",NYS:AROC,26.0,Medium ESG Risk,85,NYS,AROC,Medium Risk
"Arcos Dorados Holdings, Inc.",NYS:ARCO,28.1,Medium ESG Risk,86,NYS,ARCO,Medium Risk
"Arcosa, Inc.",NYS:ACA,39.7,High ESG Risk,86,NYS,ACA,High Risk
"Arcturus Therapeutics Holdings, Inc.",NAS:ARCT,34.3,High ESG Risk,86,NAS,ARCT,High Risk
"Arcus Biosciences, Inc.",NYS:RCUS,32.1,High ESG Risk,86,NYS,RCUS,High Risk
"Arcutis Biotherapeutics, Inc.",NAS:ARQT,29.3,Medium ESG Risk,87,NAS,ARQT,Medium Risk
Ardagh Metal Packaging SA,NYS:AMBP,12.0,Low ESG Risk,87,NYS,AMBP,Low Risk
"Ardelyx, Inc.",NAS:ARDX,28.9,Medium ESG Risk,87,NAS,ARDX,Medium Risk
Ardmore Shipping Corp.,NYS:ASC,38.3,High ESG Risk,87,NYS,ASC,High Risk
Ares Commercial Real Estate Corp.,NYS:ACRE,13.3,Low ESG Risk,88,NYS,ACRE,Low Risk
Ares Management Corp.,NYS:ARES,18.6,Low ESG Risk,88,NYS,ARES,Low Risk
"Argan, Inc.",NYS:AGX,40.6,Severe ESG Risk,88,NYS,AGX,High Risk
Argo Group International Holdings Ltd.,NYS:ARGO.PRA,22.6,Medium ESG Risk,88,NYS,ARGO.PRA,Medium Risk
"Arhaus, Inc.",NAS:ARHS,17.2,Low ESG Risk,89,NAS,ARHS,Low Risk
"Aris Water Solutions, Inc.",NYS:ARIS,22.6,Medium ESG Risk,89,NYS,ARIS,Medium Risk
"Arista Networks, Inc.",NYS:ANET,13.7,Low ESG Risk,89,NYS,ANET,Low Risk
ARKO Corp.,NAS:ARKO,47.7,Severe ESG Risk,90,NAS,ARKO,High Risk
"Arlo Technologies, Inc.",NYS:ARLO,19.1,Low ESG Risk,90,NYS,ARLO,Low Risk
"Armada Hoffler Properties, Inc.",NYS:AHH,20.1,Medium ESG Risk,91,NYS,AHH,Medium Risk
"ARMOUR Residential REIT, Inc.",NYS:ARR,18.3,Low ESG Risk,91,NYS,ARR,Low Risk
"Armstrong World Industries, Inc.",NYS:AWI,19.7,Low ESG Risk,91,NYS,AWI,Low Risk
"Array Technologies, Inc.",NAS:ARRY,18.3,Low ESG Risk,91,NAS,ARRY,Low Risk
"Arrow Electronics, Inc.",NYS:ARW,7.7,Negligible ESG Risk,91,NYS,ARW,Low Risk
Arrow Financial Corp.,NAS:AROW,29.1,Medium ESG Risk,92,NAS,AROW,Medium Risk
"Arrowhead Pharmaceuticals, Inc.",NAS:ARWR,25.8,Medium ESG Risk,92,NAS,ARWR,Medium Risk
Artesian Resources Corp.,NAS:ARTNA,47.3,Severe ESG Risk,92,NAS,ARTNA,High Risk
Arthur J. Gallagher & Co.,NYS:AJG,20.3,Medium ESG Risk,92,NYS,AJG,Medium Risk
"Artisan Partners Asset Management, Inc.",NYS:APAM,24.2,Medium ESG Risk,92,NYS,APAM,Medium Risk
"Artivion, Inc.",NYS:AORT,28.5,Medium ESG Risk,92,NYS,AORT,Medium Risk
"Arvinas, Inc.",NAS:ARVN,26.2,Medium ESG Risk,93,NAS,ARVN,Medium Risk
"Asana, Inc.",NYS:ASAN,22.1,Medium ESG Risk,94,NYS,ASAN,Medium Risk
"Asbury Automotive Group, Inc.",NYS:ABG,14.6,Low ESG Risk,94,NYS,ABG,Low Risk
Ascendis Pharma A/S,NAS:ASND,27.5,Medium ESG Risk,95,NAS,ASND,Medium Risk
ASGN Incorporated,NYS:ASGN,8.0,Negligible ESG Risk,95,NYS,ASGN,Low Risk
"Ashland, Inc.",NYS:ASH,30.2,High ESG Risk,95,NYS,ASH,High Risk
"Aspen Aerogels, Inc.",NYS:ASPN,27.8,Medium ESG Risk,98,NYS,ASPN,Medium Risk
"Aspen Technology, Inc.",NAS:AZPN,16.3,Low ESG Risk,98,NAS,AZPN,Low Risk
"Assertio Holdings, Inc.",NAS:ASRT,32.8,High ESG Risk,99,NAS,ASRT,High Risk
Associated Banc-Corp,NYS:ASB,24.3,Medium ESG Risk,99,NYS,ASB,Medium Risk
"Assurant, Inc.",NYS:AIZ,23.5,Medium ESG Risk,100,NYS,AIZ,Medium Risk
Assured Guaranty Ltd.,NYS:AGO,24.3,Medium ESG Risk,100,NYS,AGO,Medium Risk
"AST Spacemobile, Inc.",NAS:ASTS,33.0,High ESG Risk,100,NAS,ASTS,High Risk
"Astec Industries, Inc.",NAS:ASTE,28.5,Medium ESG Risk,100,NAS,ASTE,Medium Risk
"Astrana Health, Inc.",NAS:ASTH,25.4,Medium ESG Risk,101,NAS,ASTH,Medium Risk
"Astria Therapeutics, Inc.",NAS:ATXS,28.3,Medium ESG Risk,101,NAS,ATXS,Medium Risk
Astronics Corp.,NAS:ATRO,42.8,Severe ESG Risk,102,NAS,ATRO,High Risk
"Asure Software, Inc.",NAS:ASUR,23.3,Medium ESG Risk,102,NAS,ASUR,Medium Risk
"AT&T, Inc.",NYS:T,22.1,Medium ESG Risk,102,NYS,T,Medium Risk
"Atara Biotherapeutics, Inc.",NAS:ATRA,26.2,Medium ESG Risk,103,NAS,ATRA,Medium Risk
"Atea Pharmaceuticals, Inc.",NAS:AVIR,36.1,High ESG Risk,103,NAS,AVIR,High Risk
"ATI, Inc. (Texas)",NYS:ATI,37.2,High ESG Risk,103,NYS,ATI,High Risk
"Atkore, Inc.",NYS:ATKR,28.0,Medium ESG Risk,104,NYS,ATKR,Medium Risk
"Atlanta Braves Holdings, Inc.",NAS:BATRK,16.1,Low ESG Risk,104,NAS,BATRK,Low Risk
Atlantic Union Bankshares Corp.,NYS:AUB,29.3,Medium ESG Risk,104,NYS,AUB,Medium Risk
Atlantica Sustainable Infrastructure Plc,NAS:AY,11.8,Low ESG Risk,104,NAS,AY,Low Risk
Atlanticus Holdings Corp.,NAS:ATLC,25.1,Medium ESG Risk,104,NAS,ATLC,Medium Risk
Atlassian Corp.,NAS:TEAM,17.7,Low ESG Risk,104,NAS,TEAM,Low Risk
Atmos Energy Corp.,NYS:ATO,31.2,High ESG Risk,105,NYS,ATO,High Risk
"ATN International, Inc.",NAS:ATNI,34.6,High ESG Risk,105,NAS,ATNI,High Risk
"Atomera, Inc.",NAS:ATOM,22.0,Medium ESG Risk,105,NAS,ATOM,Medium Risk
Atour Lifestyle Holdings Ltd.,NAS:ATAT,33.8,High ESG Risk,105,NAS,ATAT,High Risk
ATRenew Inc.,NYS:RERE,19.6,Low ESG Risk,106,NYS,RERE,Low Risk
"AtriCure, Inc.",NAS:ATRC,22.0,Medium ESG Risk,106,NAS,ATRC,Medium Risk
AudioCodes Ltd.,NAS:AUDC,19.6,Low ESG Risk,107,NAS,AUDC,Low Risk
Auna SA,NYS:AUNA,29.4,Medium ESG Risk,107,NYS,AUNA,Medium Risk
"Aura Biosciences, Inc.",NAS:AURA,27.4,Medium ESG Risk,108,NAS,AURA,Medium Risk
"Aurinia Pharmaceuticals, Inc.",NAS:AUPH,27.3,Medium ESG Risk,108,NAS,AUPH,Medium Risk
"Aurora Innovation, Inc.",NAS:AUR,26.1,Medium ESG Risk,109,NAS,AUR,Medium Risk
"Autodesk, Inc.",NAS:ADSK,15.1,Low ESG Risk,111,NAS,ADSK,Low Risk
"Autoliv, Inc.",NYS:ALV,12.0,Low ESG Risk,112,NYS,ALV,Low Risk
"Automatic Data Processing, Inc.",NAS:ADP,15.1,Low ESG Risk,112,NAS,ADP,Low Risk
"AutoNation, Inc.",NYS:AN,12.8,Low ESG Risk,112,NYS,AN,Low Risk
"AutoZone, Inc.",NYS:AZO,11.0,Low ESG Risk,112,NYS,AZO,Low Risk
"AvalonBay Communities, Inc.",NYS:AVB,8.1,Negligible ESG Risk,113,NYS,AVB,Low Risk
"Avangrid, Inc.",NYS:AGR,22.1,Medium ESG Risk,113,NYS,AGR,Medium Risk
"Avanos Medical, Inc.",NYS:AVNS,23.7,Medium ESG Risk,113,NYS,AVNS,Medium Risk
"Avantor, Inc.",NYS:AVTR,16.6,Low ESG Risk,113,NYS,AVTR,Low Risk
"Aveanna Healthcare Holdings, Inc.",NAS:AVAH,23.1,Medium ESG Risk,114,NAS,AVAH,Medium Risk
"AvePoint, Inc.",NAS:AVPT,22.5,Medium ESG Risk,114,NAS,AVPT,Medium Risk
Avery Dennison Corp.,NYS:AVY,15.4,Low ESG Risk,114,NYS,AVY,Low Risk
"Aviat Networks, Inc.",NAS:AVNW,19.2,Low ESG Risk,114,NAS,AVNW,Low Risk
"Avid Bioservices, Inc.",NAS:CDMO,25.2,Medium ESG Risk,115,NAS,CDMO,Medium Risk
"Avidity Biosciences, Inc.",NAS:RNA,24.7,Medium ESG Risk,115,NAS,RNA,Medium Risk
"AvidXchange Holdings, Inc.",NAS:AVDX,23.3,Medium ESG Risk,115,NAS,AVDX,Medium Risk
Avient Corp.,NYS:AVNT,22.7,Medium ESG Risk,115,NYS,AVNT,Medium Risk
"Avis Budget Group, Inc.",NAS:CAR,13.5,Low ESG Risk,116,NAS,CAR,Low Risk
Avista Corp.,NYS:AVA,28.0,Medium ESG Risk,116,NYS,AVA,Medium Risk
"AVITA Medical, Inc.",NAS:RCEL,29.0,Medium ESG Risk,116,NAS,RCEL,Medium Risk
"Avnet, Inc.",NAS:AVT,5.6,Negligible ESG Risk,116,NAS,AVT,Low Risk
Axalta Coating Systems Ltd.,NYS:AXTA,23.8,Medium ESG Risk,117,NYS,AXTA,Medium Risk
"Axcelis Technologies, Inc.",NAS:ACLS,13.6,Low ESG Risk,117,NAS,ACLS,Low Risk
AXIS Capital Holdings Ltd.,NYS:AXS,22.2,Medium ESG Risk,118,NYS,AXS,Medium Risk
"Axogen, Inc.",NAS:AXGN,27.7,Medium ESG Risk,118,NAS,AXGN,Medium Risk
"Axon Enterprise, Inc.",NAS:AXON,30.5,High ESG Risk,118,NAS,AXON,High Risk
"Axonics, Inc.",NAS:AXNX,30.0,Medium ESG Risk,118,NAS,AXNX,Medium Risk
"Axos Financial, Inc.",NYS:AX,34.6,High ESG Risk,118,NYS,AX,High Risk
"Axsome Therapeutics, Inc.",NAS:AXSM,37.0,High ESG Risk,118,NAS,AXSM,High Risk
"Azenta, Inc.",NAS:AZTA,15.9,Low ESG Risk,119,NAS,AZTA,Low Risk
"AZZ, Inc.",NYS:AZZ,29.7,Medium ESG Risk,120,NYS,AZZ,Medium Risk
"B. Riley Financial, Inc.",NAS:RILY,35.1,High ESG Risk,120,NAS,RILY,High Risk
"B&G Foods, Inc.",NYS:BGS,34.3,High ESG Risk,120,NYS,BGS,High Risk
"Babcock & Wilcox Enterprises, Inc.",NYS:BW,27.3,Medium ESG Risk,121,NYS,BW,Medium Risk
"Badger Meter, Inc.",NYS:BMI,10.2,Low ESG Risk,122,NYS,BMI,Low Risk
Baker Hughes Co.,NAS:BKR,19.1,Low ESG Risk,123,NAS,BKR,Low Risk
"Bakkt Holdings, Inc.",NYS:BKKT,21.0,Medium ESG Risk,124,NYS,BKKT,Medium Risk
Balchem Corp.,NAS:BCPC,21.1,Medium ESG Risk,124,NAS,BCPC,Medium Risk
Ball Corp.,NYS:BALL,10.3,Low ESG Risk,124,NYS,BALL,Low Risk
Bally's Corp.,NYS:BALY,29.7,Medium ESG Risk,125,NYS,BALY,Medium Risk
"Banc of California, Inc.",NYS:BANC,31.8,High ESG Risk,125,NYS,BANC,High Risk
BancFirst Corp. (Oklahoma),NAS:BANF,27.7,Medium ESG Risk,126,NAS,BANF,Medium Risk
Banco Latinoamericano de Comercio Exterior SA,NYS:BLX,28.5,Medium ESG Risk,129,NYS,BLX,Medium Risk
"Bandwidth, Inc.",NAS:BAND,23.5,Medium ESG Risk,130,NAS,BAND,Medium Risk
Bank First Corp.,NAS:BFC,29.5,Medium ESG Risk,132,NAS,BFC,Medium Risk
